name,type,count,amount,year,quarter
Recharge & bill payments,TOTAL,1247192050,1077506924551.0,2023,Q4
Financial Services,TOTAL,7517384,9998159518.0,2023,Q4
Others,TOTAL,8651416,6391200449.0,2023,Q4
Merchant payments,TOTAL,12520741960,5962442621632.0,2024,Q1
Peer-to-peer payments,TOTAL,7335480797,22327480157794.0,2024,Q1
Recharge & bill payments,TOTAL,1365204965,1150335013422.0,2024,Q1
Financial Services,TOTAL,7419656,11806228360.0,2024,Q1
Others,TOTAL,8290191,6518078355.0,2024,Q1
Merchant payments,TOTAL,14634736361,6800938567813.0,2024,Q2
Peer-to-peer payments,TOTAL,7929923251,23817818323139.0,2024,Q2
Recharge & bill payments,TOTAL,1443979969,1179029035046.0,2024,Q2
Financial Services,TOTAL,8865844,14501331707.0,2024,Q2
Others,TOTAL,8700101,8229697141.999999,2024,Q2
